"","year","c_regin","regin","x1","x2","x3","x28","x4","x5","x6","x5.","x6.","x7","x8","x9","x10","x11","x13","x14","x15","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","id","critic_set1","critic_set2","entropy_set1","entropy_set2","combine_set1","combine_set2"
"214",2019,"宁夏","w64",0.16183704,8.1511,106.9,99.88,2345,0,0,0,0,4.325551033,294.0000305,28.99999809,125,8,0.207082197,1.08,27,367622.0938,55.00000381,30,3,97.18295288,7898.831543,102,2.710000038,82221.96875,0.569999993,25.85,"w64",0.027476734698056,0.0267655201710448,0.0176817337671285,0.0173266858206664,0.0227031037471122,0.0221609426284345
"215",2020,"宁夏","w64",0.1487869,7.7,110.22,99.94,2197,0,0,0,0,4.067476749,275.0000305,30.00000191,298,16,0.186447978,1.11,27,370692,54.00000381,30,3,104.2442398,172162.125,102.9999924,2.610000134,94305.98438,0.639999986,29.43,"w64",0.0295340897394322,0.0287662374125359,0.0190439360003326,0.0186615351306824,0.0244216734239819,0.0238368273313091
"216",2021,"宁夏","w64",0.18898747,4.6938,120.15,99.98,2178,0,0,0,0,3.824799776,257.2279053,31.03448868,395,23,0.167869821,1.18,27,373787.5313,53.01818466,43,6,111.8186035,3752428.25,104.0097885,2.513689995,108165.9688,0.718596518,24.39,"w64",0.0329556956538617,0.0320953431958098,0.0216671458501964,0.0212320711148157,0.0274541779803003,0.026795877519584
"217",2013,"山西","z14",41.25077932,8.1775,344.65,98.45,5821,1.604570595,1,0,1,21.10000038,2038.000122,876.0001831,386,16,21.44999886,0.4,127,906750.625,96.99998474,226,100,306.0999756,718.3999023,227.841217,1.845703006,141054.9688,0.469999999,66.69,"z14",0.0902414666751236,0.0727657905952057,0.0819754619838196,0.0608948882079379,0.0862129978558441,0.066974769319285
"218",2014,"山西","z14",45.33140132,13.1922,367.97,98.95,5686,1.312891004,1,0,1,21.50421333,2142.999756,843.0001221,238,35,32.32999802,0.4,126,1126165.5,99.00000763,351,99,325.5625916,854.6607056,247.4286499,1.96875,140919.0469,0.460000008,63.95,"z14",0.091004289277589,0.0761717093026256,0.0818544788280322,0.0641940973497975,0.0865450943611943,0.0703286315490806
"219",2015,"山西","z14",21.75181065,21.5,382.4,99.31,5638,1.214689266,1,0.126278571,1,21.91616821,1887.000244,1093.999756,291,20,11.5,0.42,126,1197672.5,100.0000076,456,137,346.2626648,1016.766479,268.7000122,2.099999905,182006.9531,0.529999971,73.08,"z14",0.0981452450850098,0.0845075719531494,0.0863168316604047,0.0702705971319365,0.0923806228228547,0.0775623017955227
"220",2016,"山西","z14",42.79684045,23.9006,358.83,99.41,6503,1.393471393,1,0.329091707,1,22.33601761,1968,1397.999878,309,24,18.22999954,0.47,127,1458367.5,104.9999847,546,127,368.2789001,1209.619385,291.8000488,2.24000001,197818,0.580000043,72.64,"z14",0.110788868661414,0.095986313681735,0.097515740296869,0.0800380204586369,0.10432015907949,0.0882062054509875
"221",2017,"山西","z14",32.79708743,24.4481,346.79,99.55,6587,1.113384689,1,0.741702207,1,22.76390839,1977.000244,1435.999756,342,30,11.82000065,0.47,128,1626580.5,138,665,121,391.6950073,1439.051025,329.7999268,2.119999886,222492.9531,0.590000033,71.92,"z14",0.11205052211955,0.10140980425664,0.0973632721263464,0.084977670182167,0.104892634984447,0.0933936623552359
"222",2018,"山西","z14",29.4992298,107.5614,311.8,99.57,6887,0.992809805,1,0.519615485,1,23.19999695,1857.000244,1414.999878,515,66,2.620000124,0.47,128,1799226.375,152,795,125,416.5999451,1711.999756,343.999939,2.160000086,233499.9375,0.540000021,92.85,"z14",0.115330620138361,0.104846808587893,0.1014982261626,0.0894697482224708,0.108589350334103,0.0973453667570863
"223",2019,"山西","z14",38.31038657,82.0642,300.5,99.59,7110,1.447871654,1,12.56913022,1,22.29466248,1702.000244,1258.000122,548,74,3.210000038,0.5,128,1759224.25,157.9999847,779,137,491.1670837,46438.81641,386.999939,2.279999971,282299,0.599999964,112.24,"z14",0.119244382858438,0.152837105286454,0.106780024884484,0.142087224929611,0.113169830601864,0.147592955867211
"224",2020,"山西","z14",33.23554569,82.8,345.01,99.65,6906,1.418548676,1,7.8242965,1,21.42465782,1680.999878,1252.000244,1127,128,2.49000001,0.54,128,1834053.375,159.0000305,827,167,579.0809326,1259675.25,405.0000305,2.269999981,274503,0.540000021,112.31,"z14",0.120290977126156,0.135104197061264,0.108418722229808,0.123255395987763,0.114504988556032,0.129323957541782
"225",2021,"山西","z14",35.83710236,34.9239,332.67,99.22,6983,1.237464857,1,6.435863293,1,20.58860207,1660.258545,1246.029053,1235,120,1.849999905,0.62,128,1912065.375,160.0064087,814,172,682.7304688,34169296,423.8373413,2.260043859,266922.2813,0.486000001,97.04,"z14",0.124871884996524,0.135670542555369,0.114342112626725,0.125100700636203,0.119740160390745,0.130514221878125
"226",2013,"安徽","z34",12.96827492,21.1612,348,98.57,7132,1.764216207,2,0.273103331,2,51.09999847,465.9999695,134.0000305,2219,108,2.25999999,0.29,107,929951.3125,153.9999847,991,48,2251.600586,2290.700195,607.9425659,3.402495861,111141.0156,0.25999999,79.5,"z34",0.0843879167248681,0.0665538587159675,0.0867367075057003,0.0642530867793686,0.0855326088436069,0.0654314655902203
"227",2014,"安徽","z34",15.50134292,35.6011,386.34,98.72,7488,1.343838987,2,0.524815995,2,54.13692474,472.000061,141.0000153,1600,98,74.29998016,0.29,113,1005944.875,164,988,48,2519.361572,2773.556152,711.9281006,3.591024876,119933.0313,0.25999999,82.25,"z34",0.0851857635637386,0.0721929994254073,0.0869508074667168,0.070491108364974,0.0860459644217526,0.0713627603232107
"228",2015,"安徽","z34",24.5359551,48.9,507.41,98.93,7675,1.598070955,2,0.677618799,2,57.3543396,542.000061,139.0000153,1747,195,3.519999981,0.32,122,1021742.375,171,1617,76,2818.964844,3358.193604,833.6998901,3.789999962,146252,0.280000001,88.19,"z34",0.101484001338493,0.0863431625086603,0.102666363899312,0.0835813670557328,0.102060230228655,0.0849958667677065
"229",2016,"安徽","z34",22.03600859,74.5403,585.21,99.03,7549,1.633109648,2,1.092482494,2,60.76296616,467.000061,141.0000153,2259,412,3.109999895,0.35,123,1006694.375,171,1879,88,3154.196777,4066.066162,976.3000488,4,175603.0156,0.319999993,84.23,"z34",0.110323600906247,0.0963156715145572,0.111884382881256,0.0940207238781261,0.111084253936923,0.0951961196762782
